Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
1 Bed Apartment with Borehole at Mbcl Apartments - Umoja Road,"MBCL Apartments - Umoja Road, Ongata Rongai",1,1,,29/07/2024,"['Balcony', 'Borehole', 'Bus Stop', 'Hospital', 'Parking', 'School', 'Shopping Centre']",/listings/1-bedroom-apartment-for-rent-ongata-rongai-3707174,flats-apartments,rent,"KSh 11,000
 / month"
Furnished 2 Bed Apartment with En Suite at Dennis Pritt Rd,"Kitale Lane, Dennis Pritt Rd, Kilimani",2,3,140 m²,22/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Furnished', 'Garden', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']",/listings/furnished-2-bedroom-apartment-for-rent-kilimani-3708096,flats-apartments,rent,"KSh 285,000
 / month"
4 Bed Apartment with Swimming Pool at Off Chiromo Road,"Off Chiromo Road, Riverside, Westlands",4,4,,25/04/2024,"['Backup Generator', 'Electric Fence', 'Garden', 'Hospital', 'Parking', 'School', 'Shopping Centre', 'Swimming Pool']",/listings/4-bedroom-apartment-for-rent-riverside-3653618,flats-apartments,rent,"KSh 220,000
 / month"
3 Bed Apartment with En Suite in Kileleshwa,Kileleshwa,3,3,,31/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/3-bedroom-apartment-for-rent-kileleshwa-3711029,flats-apartments,rent,"KSh 170,000
 / month"
3 Bed Apartment with En Suite in Westlands Area,"Brookside drive westland, Westlands Area, Westlands",3,4,,31/07/2024,"['Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Scenic View', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/3-bedroom-apartment-for-rent-westlands-area-3711059,flats-apartments,rent,"KSh 280,000
 / month"
3 Bed Apartment with En Suite at Ruaka,Ruaka,3,2,,31/07/2024,"['Balcony', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre']",/listings/3-bedroom-apartment-for-rent-ruaka-3711057,flats-apartments,rent,"KSh 45,000
 / month"
Serviced 2 Bed Apartment with En Suite in Westlands Area,"Westlands Area, Westlands",2,2,,31/07/2024,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Lift/Elevator', 'Parking', 'Serviced', 'Swimming Pool']",/listings/2-bedroom-apartment-for-rent-westlands-area-3711054,flats-apartments,rent,"KSh 80,000
 / month"
3 Bed Apartment with En Suite at Kirawa,"kirawa, Kitisuru, Westlands",3,2,,31/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Gym', 'Hospital', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Swimming Pool', 'Wheelchair Access']",/listings/3-bedroom-apartment-for-rent-kitisuru-3711055,flats-apartments,rent,"KSh 100,000
 / month"
1 Bed Apartment with En Suite in Westlands Area,"Westlands Area, Westlands",1,1,,31/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Golf Course', 'Hospital', 'Scenic View', 'School', 'Sea View', 'Service Charge Included', 'Shopping Centre']",/listings/1-bedroom-apartment-for-rent-westlands-area-3711048,flats-apartments,rent,"KSh 60,000
 / month"
3 Bed Apartment with En Suite in Kilimani,Kilimani,3,3,,31/07/2024,"['Backup Generator', 'Balcony', 'Borehole', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Swimming Pool']",/listings/3-bedroom-apartment-for-rent-kilimani-3711036,flats-apartments,rent,"KSh 140,000
 / month"
