Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Bedsitter at Mbcl Apts - Umoja Road,"MBCL Apts - Umoja Road, Ongata Rongai",,,,29/07/2024,"['Borehole', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Hospital', 'Parking', 'Scenic View', 'School', 'Shopping Centre']",/listings/bedsitter-for-rent-ongata-rongai-3709860,bedsitters,rent,"KSh 8,000
 / month"
Bedsitter in Kinoo,"Kinoo, Kikuyu",,,,06/07/2024,"['BBQ', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Gated Community', 'Golf Course', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Pet Friendly', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre']",/listings/bedsitter-for-rent-kinoo-3704475,bedsitters,rent,"KSh 18,000
 / month"
Bedsitter in Riverside,"Riverside, Westlands",,,,05/07/2024,"['Alarm', 'Backup Generator', 'Bus Stop', 'CCTV', 'Gym', 'Hospital', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Shopping Centre']",/listings/bedsitter-for-rent-riverside-3692261,bedsitters,rent,"KSh 22,000
 / month"
Bedsitter in Westlands Area,"Westlands Area, Westlands",,,,06/07/2024,"['Backup Generator', 'Balcony', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Gated Community', 'Hospital', 'Parking', 'School', 'Service Charge Included', 'Shopping Centre']",/listings/bedsitter-for-rent-westlands-area-3691824,bedsitters,rent,"KSh 40,000
 / month"
Bedsitter at Kahara Rd,"kahara rd, Ngong",,,,29/07/2024,"['Alarm', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre']",/listings/bedsitter-for-rent-ngong-3614514,bedsitters,rent,"KSh 8,000
 / month"
Bedsitter in Kilimani,Kilimani,,,,05/07/2024,[],/listings/bedsitter-for-rent-kilimani-3612214,bedsitters,rent,"KSh 20,000
 / month"
Bedsitter in Kawangware,"Stage 46, Kawangware",,,,26/07/2024,"['Balcony', 'Bus Stop', 'CCTV', 'Parking']",/listings/bedsitter-for-rent-kawangware-2-3491613,bedsitters,rent,"KSh 14,000
 / month"
Bedsitter in Rhapta Road,"Rhapta Road, Westlands",,,,30/07/2024,"['Bus Stop', 'Garden', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Staff Quarters']",/listings/bedsitter-for-rent-rhapta-road-3499857,bedsitters,rent,"KSh 13,000
 / month"
Bedsitter at Bishop Street - Atl Apartments,"Bishop Street - ATL Apartments, Ruiru",,,,30/07/2024,"['Borehole', 'Bus Stop', 'En Suite', 'Hospital', 'Parking', 'Scenic View', 'School', 'Serviced', 'Shopping Centre']",/listings/bedsitter-for-rent-ruiru-22-3515019,bedsitters,rent,"KSh 6,500
 / month"
Bedsitter at Thogoto -Ndeiya Road,"Thogoto -Ndeiya Road, Kikuyu Town, Kikuyu",,,,29/07/2024,"['Balcony', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Hospital', 'Parking', 'Scenic View', 'School']",/listings/bedsitter-for-rent-kikuyu-town-11-3463110,bedsitters,rent,"KSh 6,000
 / month"
Furnished Bedsitter at Homa Bay Town,"Sophia, Homa Bay Town, Homa Bay",,,,18/06/2024,"['CCTV', 'Furnished', 'Garden', 'Service Charge Included']",/listings/furnished-bedsitter-for-rent-homa-bay-3455591,bedsitters,rent,"KSh 5,000
 / month"
