Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Shop with Service Charge Included at Kenyatta Avenue & Moi Avenue Intersection,"Kenyatta Avenue & Moi Avenue Intersection, Nairobi CBD",,,,25/04/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Fibre Internet', 'Lift/Elevator', 'Service Charge Included', 'Wheelchair Access']",/listings/shop-for-rent-nairobi-cbd-3-3529200,commercial-property,rent,"KSh 50,000
 / month"
Warehouse with Service Charge Included in Kamakis,"Kamakis, Ruiru",,,,15/07/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Fibre Internet', 'Parking', 'Service Charge Included']",/listings/warehouse-for-rent-kamakis-3705645,commercial-property,rent,"KSh 145,800
 / month"
Furnished Office with Service Charge Included in Westlands Area,"Westlands Area, Westlands",,,,15/04/2024,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-office-for-rent-westlands-area-1-3459346,commercial-property,rent,"KSh 70,000
 / month"
Commercial Property with Fibre Internet at Lavington Green,"Maziwa, Lavington Green, Lavington",,,,31/07/2024,"['Alarm', 'Balcony', 'Fibre Internet', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Pet Friendly']",/listings/commercial-property-for-rent-lavington-3711070,commercial-property,rent,"KSh 600,000
 / month"
Commercial Property in Westlands Area,"Westlands Area, Westlands",,,,31/07/2024,[],/listings/commercial-property-for-rent-westlands-area-3710786,commercial-property,rent,"KSh 130,000
 / month"
Commercial Property with Fibre Internet at Lavington Green,"Maziwa, Lavington Green, Lavington",,,,30/07/2024,"['Alarm', 'Balcony', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Pet Friendly']",/listings/commercial-property-for-rent-lavington-3710748,commercial-property,rent,"KSh 500,000
 / month"
0.3 ac Commercial Property at Nairobi West,"Nairobi West, South C",,,,30/07/2024,[],/listings/03-ac-commercial-property-for-rent-south-c-3710699,commercial-property,rent,"KSh 300,000
 / month"
"1,600 ft² Office with Service Charge Included at Upperhill Area","upperhill area, Upper Hill",,,1600 ft²,30/07/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/1600-ft2-office-for-rent-upper-hill-3710677,commercial-property,rent,"KSh 204,160
 / month"
940 ft² Office with Backup Generator at Kilimani,"kilimani, Kilimani",,,940 ft²,30/07/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking']",/listings/940-ft2-office-for-rent-kilimani-3710668,commercial-property,rent,"KSh 11,280,000
 / month"
Commercial Property in Mombasa Road,Mombasa Road,,,,30/07/2024,[],/listings/commercial-property-for-rent-mombasa-road-3710491,commercial-property,rent,"KSh 175
 / month"
Commercial Property with Fibre Internet at Maziwa,"Lavington green, Maziwa, Lavington",,,,29/07/2024,"['Alarm', 'Balcony', 'Fibre Internet', 'Garden', 'Kids Play Area', 'Parking', 'Pet Friendly']",/listings/commercial-property-for-rent-lavington-3710443,commercial-property,rent,"KSh 500,000
 / month"
"1,250 ft² Office with Service Charge Included at Muthithi Road","Muthithi road, Westlands Area, Westlands",,,1250 ft²,29/07/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/1250-ft2-office-for-rent-westlands-area-3710392,commercial-property,rent,"KSh 116,000
 / month"
905 ft² Office with Service Charge Included at Ngara,"ngara, Westlands Area, Westlands",,,905 ft²,29/07/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/905-ft2-office-for-rent-westlands-area-3710370,commercial-property,rent,"KSh 120,000
 / month"
1 ac Commercial Property with Service Charge Included at Riverside,"Riverside, Westlands",,,1 ac,27/06/2024,"['CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/1-ac-commercial-property-for-rent-riverside-3702788,commercial-property,rent,"KSh 500,000
 / month"
"2,100 ft² Commercial Property with Service Charge Included at Padmore Road","Padmore road, Kilimani",,,2100 ft²,23/07/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/2100-ft2-commercial-property-for-rent-kilimani-3708710,commercial-property,rent,"KSh 231,000
 / month"
"1,245 ft² Office with Service Charge Included at Muthithi Road","Muthithi road, Westlands Area, Westlands",,,1245 ft²,23/07/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/1245-ft2-office-for-rent-westlands-area-3708715,commercial-property,rent,"KSh 110,000
 / month"
0.5 ac Commercial Property with Service Charge Included at James Gichuru,"james gichuru, Lavington",,,,25/07/2024,"['CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Gated Community', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/05-ac-commercial-property-for-rent-lavington-3709524,commercial-property,rent,"KSh 500,000
 / month"
"3,657 ft² Office with Service Charge Included at Lavington",Lavington,,,3657 ft²,26/07/2024,"['Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/3657-ft2-office-for-rent-lavington-3709813,commercial-property,rent,"KSh 695,000
 / month"
"Furnished 2,124 ft² Office with Service Charge Included in Kilimani",Kilimani,,,2124 ft²,21/06/2024,"['Alarm', 'Backup Generator', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-2124-ft2-office-for-rent-kilimani-3701771,commercial-property,rent,"KSh 307,980
 / month"
Furnished Office with Service Charge Included in Westlands Area,"Westlands Area, Westlands",,,,10/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-office-for-rent-westlands-area-3705495,commercial-property,rent,"KSh 368,000
 / month"
