Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
"11,696 ft² Warehouse with Fibre Internet at Baba Dogo","Baba Dogo, Ruaraka",,,11696 ft²,28/06/2024,"['Alarm', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Parking']",/listings/11696-ft2-warehouse-for-sale-ruaraka-3702867,commercial-property,sale,"KSh 65,500,000"
"2,508 m² Commercial Property in Gigiri","Gigiri, Westlands",,,2508 m²,12/02/2024,[],/listings/2508-m2-commercial-property-for-sale-gigiri-7-3427515,commercial-property,sale,Price not communicated
"4,550 ft² Commercial Property with Backup Generator in Karen",Karen,,,4550 ft²,12/02/2024,"['Backup Generator', 'Garden', 'Parking']",/listings/4550-ft2-commercial-property-for-sale-karen-6-3427507,commercial-property,sale,"KSh 120,000,000"
Warehouse in Industrial Area,Industrial Area,,,,31/07/2024,[],/listings/warehouse-for-sale-industrial-area-3710987,commercial-property,sale,"KSh 500,000,000"
Warehouse in Ruaraka,Ruaraka,,,,31/07/2024,[],/listings/warehouse-for-sale-ruaraka-3710983,commercial-property,sale,"KSh 100,000,000"
Warehouse in Ruaraka,Ruaraka,,,,31/07/2024,[],/listings/warehouse-for-sale-ruaraka-3710980,commercial-property,sale,"KSh 100,000,000"
Furnished Commercial Property with Service Charge Included in Karura,"Karura, Westlands",,,,31/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Furnished', 'Garden', 'Kids Play Area', 'Lift/Elevator', 'Parking', 'Pet Friendly', 'Service Charge Included', 'Wheelchair Access']",/listings/furnished-commercial-property-for-sale-karura-3710877,commercial-property,sale,Price not communicated
Commercial Property with Backup Generator in Kitengela,Kitengela,,,,31/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Fibre Internet', 'Parking', 'Pet Friendly', 'Wheelchair Access']",/listings/commercial-property-for-sale-kitengela-3710835,commercial-property,sale,"KSh 80,000,000"
Commercial Property at River Road,"River Road, Nairobi CBD",,,,30/07/2024,[],/listings/commercial-property-for-sale-nairobi-cbd-3710736,commercial-property,sale,"KSh 80,000,000"
Commercial Property at River Road,"River Road, Nairobi CBD",,,,30/07/2024,[],/listings/commercial-property-for-sale-nairobi-cbd-3710734,commercial-property,sale,"KSh 250,000,000"
Office with Backup Generator in Kilimani,Kilimani,,,,30/07/2024,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Lift/Elevator', 'Parking']",/listings/office-for-sale-kilimani-3710543,commercial-property,sale,"KSh 11,950"
Commercial Property with Electric Fence at Tena Estate,"Tena Estate, Embakasi",,,,29/07/2024,['Electric Fence'],/listings/commercial-property-for-sale-embakasi-3710319,commercial-property,sale,"KSh 450,000,000"
"20,000 ft² Warehouse with Parking in Industrial Area",Industrial Area,,,20000 ft²,29/07/2024,"['Aircon', 'CCTV', 'Parking']",/listings/20000-ft2-warehouse-for-sale-industrial-area-3710299,commercial-property,sale,"KSh 130,000,000"
Commercial Property in Narok,Narok,,,,27/07/2024,[],/listings/commercial-property-for-sale-narok-3493540,commercial-property,sale,"KSh 3,000,000"
"8,720 ft² Warehouse with Fibre Internet at Mombasa Rd","Mombasa Rd, Athi River",,,8720 ft²,23/07/2024,"['CCTV', 'Electric Fence', 'Fibre Internet', 'Parking']",/listings/8720-ft2-warehouse-for-sale-athi-river-area-3708853,commercial-property,sale,"KSh 34,880,000"
Commercial Property with Fibre Internet at Ngara,Ngara,,,,23/07/2024,"['Fibre Internet', 'Lift/Elevator', 'Parking']",/listings/commercial-property-for-sale-ngara-3708111,commercial-property,sale,"KSh 300,000,000"
"2,100 ft² Commercial Property with Fibre Internet at Argwings Kodhek","Argwings Kodhek, Kilimani",,,2100 ft²,22/07/2024,"['Alarm', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Parking']",/listings/2100-ft2-commercial-property-for-sale-kilimani-3661256,commercial-property,sale,"KSh 26,250,000,000"
Warehouse in Ruiru,Ruiru,,,,22/07/2024,[],/listings/warehouse-for-sale-ruiru-3708376,commercial-property,sale,"KSh 4,500"
Commercial Property with Service Charge Included at Moi Avenue,"Moi avenue, Mombasa Island",,,,19/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'Lift/Elevator', 'Parking', 'Service Charge Included', 'Wheelchair Access']",/listings/commercial-property-for-sale-mombasa-island-3707930,commercial-property,sale,"KSh 135,000,000"
506 m² Commercial Property at Irungu Riika Road,"Irungu riika Road, Ngara",,,506 m²,18/07/2024,[],/listings/506-m2-commercial-property-for-sale-ngara-3707114,commercial-property,sale,"KSh 98,000,000"
Commercial Property with Aircon at Utange Mombasa,"Utange Mombasa, Utange Mombasa, Bamburi",,,,18/07/2024,"['Aircon', 'Electric Fence', 'Kids Play Area', 'Pet Friendly']",/listings/commercial-property-for-sale-bamburi-3707519,commercial-property,sale,"KSh 15,000,000"
Warehouse in Kikuyu Town,"Kikuyu Town, Kikuyu",,,,22/03/2024,[],/listings/warehouse-for-sale-kikuyu-town-3683029,commercial-property,sale,"KSh 135,000,000"
Warehouse in Mombasa Road,Mombasa Road,,,,23/03/2024,[],/listings/warehouse-for-sale-mombasa-road-3683194,commercial-property,sale,"KSh 180,000,000"
Commercial Property in Nairobi CBD,Nairobi CBD,,,,03/05/2024,[],/listings/commercial-property-for-sale-nairobi-cbd-3690906,commercial-property,sale,"KSh 650,000,000"
Office in Spring Valley,"Spring Valley, Westlands",,,,12/07/2024,[],/listings/office-for-sale-spring-valley-3701177,commercial-property,sale,"KSh 48,500,000"
Office in Parklands,"Parklands, Westlands",,,,28/06/2024,[],/listings/office-for-sale-parklands-3703064,commercial-property,sale,"KSh 17,000,000"
"11,500 ft² Warehouse in Mombasa Road",Mombasa Road,,,11500 ft²,04/07/2024,[],/listings/11500-ft2-warehouse-for-sale-mombasa-road-3703995,commercial-property,sale,"KSh 69,000,000"
Commercial Property with Backup Generator at Mogotio Road,"Mogotio road, Westlands Area, Westlands",,,,11/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'Fibre Internet', 'Garden', 'Gated Community', 'Lift/Elevator', 'Parking', 'Wheelchair Access']",/listings/commercial-property-for-sale-westlands-area-3705952,commercial-property,sale,"KSh 800,000,000"
