Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
5 Bed House with En Suite at Karen,Karen,5,5,,23/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Parking', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-house-for-rent-karen-3708920,houses,rent,"KSh 350,000
 / month"
5 Bed House with En Suite at Windy Ridge,"Windy Ridge, Karen",5,5,500 m²,25/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Golf Course', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/5-bedroom-house-for-rent-karen-3709453,houses,rent,"KSh 380,000
 / month"
5 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",5,5,,19/07/2024,"['Backup Generator', 'Balcony', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Parking', 'School', 'Shopping Centre', 'Walk In Closet']",/listings/5-bedroom-townhouse-for-rent-kyuna-3705413,houses,rent,"KSh 430,000
 / month"
4 Bed Townhouse with En Suite in Lower Kabete,"Lower kabete rd Nairobi, Lower Kabete, Westlands",4,5,,31/07/2024,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-rent-lower-kabete-3711058,houses,rent,"KSh 4,000
 / month"
4 Bed Townhouse with En Suite at Two Rivers,"Runda, Two Rivers, Rosslyn, Westlands",4,4,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Sea View', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-rent-rosslyn-3711056,houses,rent,"KSh 300,000
 / month"
4 Bed Townhouse with En Suite at Off Kiambu Road,"Off Kiambu road, Kiambu Road",4,4,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-rent-kiambu-road-3711049,houses,rent,"KSh 300,000
 / month"
4 Bed Townhouse with En Suite in Kitisuru,"Kitisuru, Westlands",4,4,,31/07/2024,"['Alarm', 'Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Walk In Closet']",/listings/4-bedroom-townhouse-for-rent-kitisuru-3711044,houses,rent,"KSh 390,000
 / month"
4 Bed House with En Suite in Karen,Karen,4,5,,31/07/2024,"['Backup Generator', 'Balcony', 'CCTV', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Kids Play Area', 'Parking', 'Service Charge Included', 'Staff Quarters']",/listings/4-bedroom-house-for-rent-karen-3711043,houses,rent,"KSh 280,000
 / month"
4 Bed House with En Suite at Hardy,"Hardy, Karen Hardy",4,4,,31/07/2024,"['Aircon', 'Alarm', 'Backup Generator', 'Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/4-bedroom-house-for-rent-karen-hardy-3711033,houses,rent,"KSh 280,000
 / month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,,31/07/2024,"['Alarm', 'Backup Generator', 'Balcony', 'Bus Stop', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/5-bedroom-house-for-rent-runda-3711037,houses,rent,"KSh 420,000
 / month"
