Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
3 Bed Townhouse with En Suite at Kitengela,"KITENGELA, Kitengela",3,4,137 m²,23/07/2024,"['Aircon', 'Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Hospital', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/3-bedroom-townhouse-for-sale-kitengela-3612163,houses,sale,"KSh 5,500,000"
7 Bed House with En Suite at Runda,"Runda, Westlands",7,7,1856 m²,12/06/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Garden', 'Gym', 'Hospital', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/7-bedroom-house-for-sale-runda-3651794,houses,sale,"KSh 240,000,000"
3 Bed House with En Suite in Ngong,Ngong,3,3,1800 m²,08/07/2024,"['Alarm', 'En Suite', 'Fibre Internet', 'Garden', 'Parking']",/listings/3-bedroom-house-for-sale-ngong-8-3529934,houses,sale,"KSh 7,500,000"
4 Bed House with En Suite in Gigiri,"Gigiri, Westlands",4,4,,26/07/2024,"['Bus Stop', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Kids Play Area', 'Parking', 'School', 'Shopping Centre', 'Staff Quarters', 'Wheelchair Access']",/listings/4-bedroom-house-for-sale-gigiri-3709881,houses,sale,"KSh 110,000,000"
5 Bed Townhouse with En Suite at Kirawa Road,"Kirawa Road, Kitisuru, Westlands",5,5,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Swimming Pool', 'Wheelchair Access']",/listings/5-bedroom-townhouse-for-sale-kitisuru-3710976,houses,sale,"KSh 85,000,000"
4 Bed Villa with En Suite at Muigai,"Muigai, Kitengela",4,5,285 m²,31/07/2024,"['BBQ', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/4-bedroom-villa-for-sale-kitengela-3710971,houses,sale,"KSh 15,000,000"
3 Bed Townhouse with En Suite at Muigai,"Muigai, Kitengela",3,4,235 m²,31/07/2024,"['BBQ', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Gym', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Service Charge Included', 'Serviced', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/3-bedroom-townhouse-for-sale-kitengela-3710235,houses,sale,"KSh 13,000,000"
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",5,3,,31/07/2024,"['Alarm', 'BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-house-for-sale-gigiri-3710965,houses,sale,"KSh 90,000,000"
3 Bed House with En Suite at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",3,3,137 m²,31/07/2024,"['Balcony', 'Bus Stop', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Sea View', 'Shopping Centre', 'Swimming Pool']",/listings/3-bedroom-house-for-sale-kilifi-town-3710948,houses,sale,"KSh 9,950,000"
3 Bed House with En Suite at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",3,3,137 m²,31/07/2024,"['Bus Stop', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Sea View', 'Shopping Centre', 'Swimming Pool']",/listings/3-bedroom-house-for-sale-kilifi-town-3710946,houses,sale,"KSh 9,950,000"
4 Bed House with En Suite at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",4,4,196 m²,31/07/2024,"['Balcony', 'Bus Stop', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Sea View', 'Shopping Centre', 'Swimming Pool']",/listings/4-bedroom-house-for-sale-kilifi-town-3710942,houses,sale,"KSh 13,300,000"
3 Bed House with En Suite at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",3,3,170 m²,31/07/2024,"['Balcony', 'Bus Stop', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Sea View', 'Shopping Centre', 'Swimming Pool']",/listings/3-bedroom-house-for-sale-kilifi-town-3710938,houses,sale,"KSh 11,550,000"
2 Bed House with En Suite at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",2,2,124 m²,31/07/2024,"['Balcony', 'Bus Stop', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Sea View', 'Shopping Centre', 'Staff Quarters']",/listings/2-bedroom-house-for-sale-kilifi-town-3710932,houses,sale,"KSh 9,150,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,5,3500 ft²,31/07/2024,"['Balcony', 'Bus Stop', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/5-bedroom-townhouse-for-sale-lavington-3710914,houses,sale,"KSh 80,000,000"
4 Bed Townhouse with En Suite at Kileleshwa Estate.,"0731J, Kileleshwa Estate., Kileleshwa",4,5,4200 ft²,31/07/2024,"['Aircon', 'Alarm', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Walk In Closet', 'Wheelchair Access']",/listings/4-bedroom-townhouse-for-sale-kileleshwa-3710912,houses,sale,"KSh 45,000,000"
5 Bed House with En Suite at Kyuna,"Kyuna, Westlands",5,6,,31/07/2024,"['Alarm', 'Backup Generator', 'Bus Stop', 'Electric Fence', 'En Suite', 'Garden', 'Gated Community', 'Hospital', 'Kids Play Area', 'Parking', 'Scenic View', 'School', 'Serviced', 'Staff Quarters']",/listings/5-bedroom-house-for-sale-kyuna-3710864,houses,sale,"KSh 100,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5,6,,31/07/2024,"['BBQ', 'Borehole', 'Bus Stop', 'En Suite', 'Garden', 'Scenic View', 'School', 'Service Charge Included', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet']",/listings/5-bedroom-townhouse-for-sale-lavington-3710860,houses,sale,"KSh 100,000,000"
4 Bed Villa with En Suite at Northern Bypass,"Northern bypass, Thika Road",4,4,,31/07/2024,"['BBQ', 'Backup Generator', 'Balcony', 'Borehole', 'Bus Stop', 'CCTV', 'Electric Fence', 'En Suite', 'Fibre Internet', 'Garden', 'Gated Community', 'Hospital', 'Parking', 'Scenic View', 'School', 'Shopping Centre', 'Staff Quarters', 'Walk In Closet', 'Wheelchair Access']",/listings/4-bedroom-villa-for-sale-thika-road-3710848,houses,sale,"KSh 26,000,000"
5 Bed Townhouse in Lavington,Lavington,5,6,,16/07/2024,"['CCTV', 'Parking']",/listings/5-bedroom-townhouse-for-sale-lavington-3664785,houses,sale,"KSh 65,000,000"
4 Bed House with Garden at Karen,"Windy Ridge, Karen",4,4,,14/07/2024,"['Garden', 'Shopping Centre']",/listings/4-bedroom-house-for-sale-karen-13-3595426,houses,sale,"KSh 59,000,000"
