Title,Location,Bedrooms,Bathrooms,Size,Date,Amenities,Url,Property Type,Payment_type,Price
Land in Thika,Thika,,,,14/06/2024,"['Bus Stop', 'Hospital', 'Shopping Centre']",/listings/land-for-sale-thika-3700048,land,sale,"KSh 25,000,000"
Land in Malindi,Malindi,,,,02/07/2024,"['Bus Stop', 'Hospital', 'Shopping Centre']",/listings/land-for-sale-malindi-3681413,land,sale,"KSh 999,000"
Land at Shanzu,Shanzu,,,,22/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Sea View', 'Shopping Centre']",/listings/land-for-sale-shanzu-6-3518490,land,sale,"KSh 80,000,000"
Residential Land in Vipingo,Vipingo,,,,31/07/2024,[],/listings/residential-land-for-sale-vipingo-3711003,land,sale,"KSh 3,000,000"
Residential Land in Kitisuru,"Kitisuru, Westlands",,,,31/07/2024,[],/listings/residential-land-for-sale-kitisuru-3710997,land,sale,"KSh 185,000,000"
0.045 ac Land at Kitengela Ostrich,"Kitengela Ostrich, Kitengela",,,,31/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/0045-ac-land-for-sale-kitengela-3710981,land,sale,"KSh 700,000"
"3,600 ft² Land at Kikuyu","00100, KIKUYU, Kikuyu Town, Kikuyu",,,3600 ft²,31/07/2024,[],/listings/3600-ft2-land-for-sale-kikuyu-town-3710978,land,sale,"KSh 32,000,000"
Land at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",,,,31/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/land-for-sale-kilifi-town-3710926,land,sale,"KSh 8,700,000"
0.25 ac Land at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",,,,31/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/025-ac-land-for-sale-kilifi-town-3710922,land,sale,"KSh 3,450,000"
Land at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",,,,31/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']",/listings/land-for-sale-kilifi-town-3710916,land,sale,"KSh 13,750,000"
0.5 ac Land at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",,,,31/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Sea View', 'Shopping Centre']",/listings/05-ac-land-for-sale-kilifi-town-3710908,land,sale,"KSh 8,100,000"
0.5 ac Land at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",,,,31/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Sea View', 'Shopping Centre']",/listings/05-ac-land-for-sale-kilifi-town-3710903,land,sale,"KSh 7,400,000"
0.25 ac Land at Green Heart Of Kenya,"Green Heart of Kenya, Kilifi",,,,31/07/2024,"['Bus Stop', 'Hospital', 'Scenic View', 'School', 'Sea View', 'Shopping Centre']",/listings/025-ac-land-for-sale-kilifi-town-3710898,land,sale,"KSh 4,050,000"
